team 1,team 2,team 1 elo,team 2 elo,win,score advantage,team 1 xg for,team 2 xg for,alt 1,alt 2,venue_humid,humid 1,humid 2
Qatar,Ecuador,1577,1841,0,-2,0.65,1.35,10,2850,56,63,76
England,Iran,1966,1780,1,4,1.98,0.78,11,1191,58,77,58
Senegal,Netherlands,1745,2073,0,-2,1.22,1.65,22,0,59,71,75
United States,Wales,1817,1716,,0,1.28,0.75,7,30,58,75,76
Argentina,Saudi Arabia,2144,1644,0,-1,1.8,0.72,25,612,57,76,54
Denmark,Tunisia,1883,1745,,0,1.12,0.9,10,4,58,78,72
Mexico,Poland,1812,1801,,0,1.15,1.02,2240,110,59,76,69
France,Australia,2081,1772,1,3,2.05,0.98,35,577,60,79,62
Morocco,Croatia,1866,1950,,0,1.05,1.38,75,122,56,74,67
Germany,Japan,1955,1851,0,-1,1.6,1.18,34,40,58,72,76
Spain,Costa Rica,1997,1737,1,7,1.92,0.85,650,1161,59,59,84
Belgium,Canada,1947,1711,1,1,1.08,0.83,13,70,58,75,74
Switzerland,Cameroon,1878,1676,1,1,1.2,1,540,750,60,66,80
Uruguay,Korea Republic,1904,1788,,0,1.1,0.95,43,38,58,76,67
Portugal,Ghana,1998,1593,1,1,1.78,0.8,77,61,59,77,77
Brazil,Serbia,2133,1836,1,2,2.1,0.92,1172,117,57,83,68
Wales,Iran,1716,1780,0,-2,0.75,0.78,30,1191,58,76,58
Qatar,Senegal,1577,1745,0,-2,0.65,1.22,10,22,59,63,71
Netherlands,Ecuador,2073,1841,,0,1.65,1.35,0,2850,62,75,84
England,United States,1966,1817,,0,1.98,1.28,11,7,56,77,75
Tunisia,Australia,1745,1772,0,-1,0.9,0.98,4,577,60,72,62
Poland,Saudi Arabia,1801,1644,1,2,1.02,0.72,110,612,58,69,54
France,Denmark,2081,1883,1,1,2.05,1.12,35,10,59,79,78
Argentina,Mexico,2144,1812,1,2,1.8,1.15,25,2240,57,76,76
Japan,Costa Rica,1851,1737,0,-1,1.18,0.85,40,1161,58,76,84
Belgium,Morocco,1947,1866,0,-2,1.08,1.05,13,75,59,75,74
Croatia,Canada,1950,1711,1,3,1.38,0.83,122,70,58,67,74
Spain,Germany,1997,1955,,0,1.92,1.6,650,34,56,59,72
Cameroon,Serbia,1676,1836,,0,1,0.92,750,117,60,80,68
Korea Republic,Ghana,1788,1593,0,-1,0.95,0.8,38,61,58,67,77
Brazil,Switzerland,2133,1878,1,1,2.1,1.2,1172,540,59,83,66
Portugal,Uruguay,1998,1904,1,2,1.78,1.1,77,43,57,77,76
Netherlands,Qatar,2073,1577,1,2,1.65,0.65,0,10,56,75,63
Ecuador,Senegal,1841,1745,0,-1,1.35,1.22,2850,22,58,84,71
Iran,United States,1780,1817,0,-1,0.78,1.28,1191,7,59,58,75
Australia,Denmark,1772,1883,1,1,0.98,1.12,577,10,60,62,78
Poland,Argentina,1801,2144,0,-2,1.02,1.8,110,25,59,69,76
Saudi Arabia,Mexico,1644,1812,0,-1,0.72,1.15,612,2240,57,54,76
Croatia,Belgium,1950,1947,,0,1.38,1.08,122,13,62,67,75
Canada,Morocco,1711,1866,0,-1,0.83,1.05,70,75,64,74,74
Japan,Spain,1851,1997,1,1,1.18,1.92,40,650,62,76,59
Costa Rica,Germany,1737,1955,0,-2,0.85,1.6,1161,34,62,84,72
Ghana,Uruguay,1593,1904,0,-2,0.8,1.1,61,43,64,77,76
Serbia,Switzerland,1836,1878,0,-1,0.92,1.2,117,540,64,68,66
Netherlands,United States,2073,1817,1,2,1.65,1.28,0,7,62,75,75
Argentina,Australia,2144,1772,1,1,1.8,0.98,25,577,62,76,62
France,Poland,2081,1801,1,2,2.05,1.02,35,110,64,79,69
England,Senegal,1966,1745,1,3,1.98,1.22,11,22,62,77,71
Japan,Croatia,1851,1950,,0,1.18,1.38,40,122,64,76,67
Brazil,Korea Republic,2133,1788,1,3,2.1,0.95,1172,38,64,83,67
Morocco,Spain,1866,1997,,0,1.05,1.92,75,650,64,74,59
Portugal,Switzerland,1998,1878,1,5,1.78,1.2,77,540,64,77,66
Croatia,Brazil,1950,2133,,0,1.38,2.1,122,1172,64,67,83
Netherlands,Argentina,2073,2144,,0,1.65,1.8,0,25,64,75,76
Morocco,Portugal,1866,1998,1,1,1.05,1.78,75,77,67,74,77
England,France,1966,2081,0,-1,1.98,2.05,11,35,67,77,79
Argentina,Croatia,2144,1950,1,3,1.8,1.38,25,122,67,76,67
France,Morocco,2081,1866,1,2,2.05,1.05,35,75,67,79,74
Croatia,Morocco,1950,1866,1,1,1.38,1.05,122,75,67,67,74
Argentina,France,2144,2081,,0,1.8,2.05,25,35,64,76,79