num_features,features,val_mae,val_rmse,val_r2
5,"alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",1.0770329817963782,1.417417660848107,0.38771690063523256
5,"alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",1.0770118774403754,1.4174278042315305,0.38770326385966475
5,"alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.077274838571519,1.417549868478509,0.38790066825021347
5,"humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0843680380793508,1.418071598824435,0.3869656872926431
5,"elo_diff, xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff",1.083531336831807,1.4184295627466361,0.39217421874176794
5,"alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.0852113370982928,1.4197910092723822,0.3862249063853891
4,"elo_diff, xg_for_diff, humid_diff, total_value_diff",1.071679054509293,1.4206838634551144,0.3906011623330379
4,"elo_diff, xg_for_diff, humid_diff, avg_per_player_diff",1.0716968775307187,1.4207292640078115,0.3905665033639499
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff",1.0753632182483444,1.4210821227127257,0.38959415553129856
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_per_player_diff",1.0753754844731285,1.4211395420820652,0.38955073550445796
4,"elo_diff, xg_for_diff, total_value_diff, avg_per_player_diff",1.0809638685252192,1.4214602846699296,0.39097394900626115
6,"alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",1.081136297122348,1.422795562754672,0.3827678432948715
5,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff",1.0826882883399085,1.4231095695666844,0.38850335055511886
5,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff",1.0827216517527878,1.423182889817431,0.3884473419258144
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff",1.084106891880058,1.423630239633355,0.38704869504510514
4,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff",1.0820689057635233,1.4240126620342701,0.38899986377601176
4,"elo_diff, xg_for_diff, avg_age_diff, avg_per_player_diff",1.0820943913184795,1.424069719365697,0.38895565084642103
6,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.0896556593533229,1.4245370042988659,0.38679987089981294
5,"elo_diff, xg_for_diff, humid_diff, total_value_diff, avg_per_player_diff",1.0787795428642548,1.4245852329535393,0.3870707979816968
1,avg_attend_diff,1.0898260734714549,1.4257634507226618,0.38258569169415013
5,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.088498927391058,1.4274467616179998,0.3857924272917809
5,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff",1.07997468516154,1.428339813265811,0.3839343740913377
2,"elo_diff, xg_for_diff",1.1040786898725492,1.4283399144190392,0.38502319508507143
5,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.079991930203244,1.4283874504862732,0.3838970462561502
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff",1.0826242608464087,1.428587821237381,0.38287354067902163
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.08264517236718,1.4286488507677013,0.3828262474465802
2,"alt_diff, avg_attend_diff",1.0866334412649943,1.4296398323528359,0.379366862934395
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.0895163077437615,1.4302934982548703,0.3810644249757833
3,"elo_diff, xg_for_diff, alt_diff",1.106626765641179,1.4305129505710072,0.38240220640112604
2,"avg_age_diff, avg_attend_diff",1.0895115054140212,1.4309538346571065,0.3775039792740287
4,"xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff",1.1025456469711779,1.4310726838420942,0.3804029207398003
3,"xg_for_diff, alt_diff, total_value_diff",1.0968538898759557,1.4313367619766817,0.380758056226205
3,"xg_for_diff, alt_diff, avg_per_player_diff",1.0969102711652927,1.431395256056297,0.38071402540930904
6,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.0862415454104295,1.4316712769233286,0.38090020505129324
3,"elo_diff, xg_for_diff, humid_diff",1.104039905487657,1.432075435209137,0.3804732704080776
2,"xg_for_diff, total_value_diff",1.100600022522082,1.432134176289795,0.3811611217535688
2,"xg_for_diff, avg_per_player_diff",1.100638229817617,1.4321808297162983,0.38112529412107565
3,"xg_for_diff, total_value_diff, avg_per_player_diff",1.1056294383158345,1.4340047845114259,0.3792192649177549
2,"humid_diff, avg_attend_diff",1.09659637587003,1.4344247623022037,0.3749350154235588
5,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.0983237656856815,1.434519855823047,0.3775364238542876
1,xg_for_diff,1.113786805666014,1.4347748314000006,0.379051407322217
3,"elo_diff, xg_for_diff, avg_age_diff",1.1119981692792982,1.4348114898437212,0.37924760099864224
4,"elo_diff, xg_for_diff, alt_diff, humid_diff",1.1077417539260355,1.4350481162217918,0.37751990845361194
3,"alt_diff, avg_age_diff, avg_attend_diff",1.089017051190504,1.435432808697013,0.3735210478778701
4,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff",1.0942990810869608,1.4362619150281208,0.3765678735657211
2,"xg_for_diff, alt_diff",1.1146225421409062,1.436294614660956,0.3769707053972224
4,"xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff",1.0943744534315218,1.4363311336680804,0.3765138681799238
4,"elo_diff, xg_for_diff, alt_diff, avg_age_diff",1.1142929512822628,1.437242639092772,0.3763001858562637
3,"humid_diff, avg_age_diff, avg_attend_diff",1.0929877669004997,1.4376594217890422,0.37146408445568796
3,"alt_diff, humid_diff, avg_attend_diff",1.0903329871755147,1.4379760324306918,0.37184625740141763
3,"xg_for_diff, humid_diff, total_value_diff",1.1018518370615051,1.4380845036919374,0.3747362244965731
3,"xg_for_diff, humid_diff, avg_per_player_diff",1.1018882169487234,1.4381251976197824,0.374704391495654
3,"xg_for_diff, avg_age_diff, total_value_diff",1.101314645288713,1.4383126810227578,0.3760443329393977
3,"xg_for_diff, avg_age_diff, avg_per_player_diff",1.1013613688750516,1.4383647850225652,0.3760030668175485
4,"xg_for_diff, alt_diff, humid_diff, total_value_diff",1.100160048625329,1.43860273967656,0.3736409842990996
4,"xg_for_diff, alt_diff, humid_diff, avg_per_player_diff",1.1002087152310045,1.438652975768011,0.3736022874929196
5,"xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff",1.1058642680863964,1.4387418755130446,0.37315242043044244
4,"elo_diff, xg_for_diff, humid_diff, avg_age_diff",1.1116519494240396,1.4392997733865176,0.37408603125553924
4,"xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.1054074435424994,1.4393882678459176,0.3748400113209748
4,"xg_for_diff, humid_diff, total_value_diff, avg_per_player_diff",1.1067974270375067,1.439978503382595,0.3729183742219802
2,"xg_for_diff, humid_diff",1.1156545828494935,1.4403576742608006,0.3730156115796438
6,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.0980890975307498,1.4406520860075118,0.37152727345167574
5,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff",1.0930259997208016,1.441668527228835,0.37100167480261803
2,"xg_for_diff, avg_age_diff",1.1171594474560835,1.4417047340833375,0.3730708226022891
5,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.0930958393837649,1.441728771861395,0.3709539261664163
4,"alt_diff, humid_diff, avg_age_diff, avg_attend_diff",1.0895740749671774,1.4419601693276,0.3675620960043814
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff",1.1146004194943588,1.4422011045013543,0.371027206705603
4,"xg_for_diff, humid_diff, avg_age_diff, total_value_diff",1.0972322157253687,1.4424259522753773,0.3711936543890596
4,"xg_for_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.0972795408720162,1.4424719761982223,0.37115673432241186
3,"xg_for_diff, alt_diff, humid_diff",1.1173892489478927,1.4426749706714133,0.37057001340188833
3,"xg_for_diff, alt_diff, avg_age_diff",1.1167287396486454,1.4428407962870458,0.3711598193109003
5,"xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.1016792766993782,1.4437797290694134,0.36986614569837145
3,"xg_for_diff, humid_diff, avg_age_diff",1.1158619375901866,1.445969798812068,0.36818376019870774
4,"xg_for_diff, alt_diff, humid_diff, avg_age_diff",1.1165267736348345,1.4478222319879033,0.36595528286131535
1,elo_diff,1.1045188204602225,1.4794909906908602,0.3471344322880489
2,"elo_diff, avg_age_diff",1.1180240496074838,1.4807814102419683,0.34457461049595134
2,"elo_diff, alt_diff",1.1130600304604257,1.483640686274718,0.34262890715609484
3,"elo_diff, alt_diff, avg_age_diff",1.1263649473788315,1.4860029633932887,0.3391905218323102
2,"elo_diff, humid_diff",1.1117732595455612,1.4876369706051087,0.33930149246900965
3,"elo_diff, humid_diff, avg_age_diff",1.1245121421097735,1.4904575364979638,0.33553181228440204
2,"elo_diff, avg_per_player_diff",1.122935540924983,1.4906546495675173,0.33609926479414276
2,"elo_diff, total_value_diff",1.1229108400930048,1.4906622984466815,0.3360917077914429
3,"elo_diff, avg_age_diff, avg_per_player_diff",1.1340303703139845,1.491769409247016,0.33384661727276016
3,"elo_diff, avg_age_diff, total_value_diff",1.1340113782680605,1.4917763089631264,0.33383925107364065
3,"elo_diff, alt_diff, humid_diff",1.1198937135864666,1.4922575683178103,0.3346081624504119
3,"elo_diff, alt_diff, avg_per_player_diff",1.1306799752134002,1.4953097432370452,0.3313502854537392
3,"elo_diff, alt_diff, total_value_diff",1.1306560610406173,1.495319066420667,0.3313414533962604
3,"elo_diff, total_value_diff, avg_per_player_diff",1.1310836036681438,1.4954195633749447,0.33140991701796
4,"elo_diff, alt_diff, humid_diff, avg_age_diff",1.1319556617261974,1.4956335138505272,0.33031509809681014
4,"elo_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.1413107376207017,1.4962188838109187,0.32957221937204845
4,"elo_diff, alt_diff, avg_age_diff, avg_per_player_diff",1.1417076794565242,1.497444562081037,0.3282091059365022
4,"elo_diff, alt_diff, avg_age_diff, total_value_diff",1.1416936295900821,1.4974530260161891,0.32820062462108696
3,"elo_diff, humid_diff, avg_per_player_diff",1.1299547640673395,1.498381338933452,0.32847296570665385
3,"elo_diff, humid_diff, total_value_diff",1.1299311365171696,1.4983909189532414,0.32846376853070663
4,"elo_diff, alt_diff, total_value_diff, avg_per_player_diff",1.1396292689818825,1.4994519544190412,0.3271357120690888
4,"elo_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.1398694073815399,1.5012606370799875,0.32482540069274923
4,"elo_diff, humid_diff, avg_age_diff, total_value_diff",1.1398571751620872,1.501268859842931,0.32481691755312114
5,"elo_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.1489960816530438,1.5015335016036226,0.32420565029926557
4,"elo_diff, humid_diff, total_value_diff, avg_per_player_diff",1.1376367234706593,1.5028569277770396,0.324068961420112
4,"elo_diff, alt_diff, humid_diff, avg_per_player_diff",1.1369870527271653,1.503619443635136,0.32340458193863614
4,"elo_diff, alt_diff, humid_diff, total_value_diff",1.1369645189123012,1.5036314887243016,0.3233933926253885
5,"elo_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.1468044168105627,1.5055394601324668,0.32064834992250313
5,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.1467544716253024,1.5069779142103292,0.3192634491343483
5,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff",1.146743644742676,1.5069883721701274,0.3192532072236503
5,"elo_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff",1.1452973696622677,1.5076331042506395,0.3193570030180786
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.153731313501631,1.5109728528587971,0.31529840239674223
1,avg_per_player_diff,1.2386472511717614,1.6048067181724792,0.23075301238487345
1,total_value_diff,1.2386421501291338,1.6049711418890626,0.23060518461437926
2,"total_value_diff, avg_per_player_diff",1.246456040430863,1.6058129134575665,0.22916800686159428
2,"avg_age_diff, avg_per_player_diff",1.2408985097925445,1.609633027442724,0.2264645406916155
3,"avg_age_diff, total_value_diff, avg_per_player_diff",1.2485950054591244,1.609775147639269,0.22574750643596933
2,"avg_age_diff, total_value_diff",1.240876641776833,1.6097936881620871,0.22631927422745665
2,"alt_diff, avg_per_player_diff",1.2434946514818976,1.6111160587131823,0.22446890010167853
2,"alt_diff, total_value_diff",1.243491136055427,1.6112803131848912,0.22432149650234914
3,"alt_diff, total_value_diff, avg_per_player_diff",1.251371401717867,1.6123244340409422,0.22272149161742938
4,"alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.2543956691275036,1.6163473710404153,0.21904204513997835
3,"alt_diff, avg_age_diff, avg_per_player_diff",1.2464191829418545,1.6165065453736975,0.21943628046220898
3,"alt_diff, avg_age_diff, total_value_diff",1.2463942764387042,1.6166685465340997,0.21928982845428943
2,"humid_diff, avg_per_player_diff",1.246815779629098,1.6175360662779972,0.21888524987759245
2,"humid_diff, total_value_diff",1.2468238916634145,1.6176891167569292,0.21874704833507386
3,"humid_diff, total_value_diff, avg_per_player_diff",1.2543957625478905,1.6185460621134629,0.21729870506035057
3,"humid_diff, avg_age_diff, avg_per_player_diff",1.2491750064045704,1.6216543080107448,0.21509693354040235
3,"humid_diff, avg_age_diff, total_value_diff",1.2491672091594948,1.621805180997101,0.21496020200250499
4,"humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.2568399933480983,1.6220740517615762,0.21410631757707055
3,"alt_diff, humid_diff, avg_per_player_diff",1.2511118253291447,1.6236426553166379,0.2126837449030682
3,"alt_diff, humid_diff, total_value_diff",1.2511158639901077,1.623795292296882,0.21254550550473705
4,"alt_diff, humid_diff, total_value_diff, avg_per_player_diff",1.258875166208186,1.6247606847699247,0.21105304052770746
4,"alt_diff, humid_diff, avg_age_diff, avg_per_player_diff",1.2543473658926814,1.6282728451298791,0.20826941796594162
5,"alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff",1.262146152998085,1.628360744912745,0.20765658587621452
4,"alt_diff, humid_diff, avg_age_diff, total_value_diff",1.2543451941185086,1.6284245953231573,0.20813131683996222
2,"alt_diff, avg_age_diff",1.4312789031115982,1.8660104458885665,-0.02456164000653801
1,avg_age_diff,1.4319109164390336,1.8665765257221136,-0.023753158423730634
3,"alt_diff, humid_diff, avg_age_diff",1.4377257223345086,1.875409544238527,-0.033472962153520566
2,"humid_diff, avg_age_diff",1.439123262556617,1.8778031573398841,-0.03461084491384619
1,alt_diff,1.4547371942569196,1.8893885614610086,-0.05180720494748213
1,humid_diff,1.4624047760380088,1.892467238987765,-0.051864790506266675
2,"alt_diff, humid_diff",1.4691602158320745,1.8928073661283857,-0.05354144483300855
